Date Quarter Ended,Quarter,Industry Code,Industry Type,Industry,GDP (millions of current dollars)
06/30/2008,2008Q2,6,Private Industries,Mining,394
06/30/2008,2008Q2,10,Private Industries,Utilities,3096
06/30/2008,2008Q2,11,Private Industries,Construction,5504
06/30/2008,2008Q2,12,Private Industries,Manufacturing,26650
06/30/2008,2008Q2,34,Private Industries,Wholesale trade,7998
06/30/2008,2008Q2,35,Private Industries,Retail trade,7713
06/30/2008,2008Q2,36,Private Industries,Transportation and warehousing,4831
06/30/2008,2008Q2,45,Private Industries,Information,4711
06/30/2008,2008Q2,51,Private Industries,Finance and insurance,13676
06/30/2008,2008Q2,56,Private Industries,Real estate and rental and leasing,13838
06/30/2008,2008Q2,60,Private Industries,"Professional, scientific, and technical services",4137
06/30/2008,2008Q2,64,Private Industries,Management of companies and enterprises,1335
06/30/2008,2008Q2,65,Private Industries,Administrative and waste management services,2861
06/30/2008,2008Q2,69,Private Industries,Educational services,1167
06/30/2008,2008Q2,70,Private Industries,Health care and social assistance,9379
06/30/2008,2008Q2,75,Private Industries,"Arts, entertainment, and recreation",1070
06/30/2008,2008Q2,78,Private Industries,Accommodation and food services,2701
06/30/2008,2008Q2,81,Private Industries,"Other services, except government",2877
06/30/2008,2008Q2,82,Government,Government,15883
09/30/2008,2008Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",7710
09/30/2008,2008Q3,6,Private Industries,Mining,415
09/30/2008,2008Q3,10,Private Industries,Utilities,3106
09/30/2008,2008Q3,11,Private Industries,Construction,5888
09/30/2008,2008Q3,12,Private Industries,Manufacturing,27600
09/30/2008,2008Q3,34,Private Industries,Wholesale trade,8148
09/30/2008,2008Q3,35,Private Industries,Retail trade,7902
09/30/2008,2008Q3,36,Private Industries,Transportation and warehousing,4937
09/30/2008,2008Q3,45,Private Industries,Information,4595
09/30/2008,2008Q3,51,Private Industries,Finance and insurance,11676
09/30/2008,2008Q3,56,Private Industries,Real estate and rental and leasing,13656
09/30/2008,2008Q3,60,Private Industries,"Professional, scientific, and technical services",4246
09/30/2008,2008Q3,64,Private Industries,Management of companies and enterprises,1352
09/30/2008,2008Q3,65,Private Industries,Administrative and waste management services,2933
09/30/2008,2008Q3,69,Private Industries,Educational services,1212
09/30/2008,2008Q3,70,Private Industries,Health care and social assistance,9562
09/30/2008,2008Q3,75,Private Industries,"Arts, entertainment, and recreation",1088
09/30/2008,2008Q3,78,Private Industries,Accommodation and food services,2723
09/30/2008,2008Q3,81,Private Industries,"Other services, except government",2912
09/30/2008,2008Q3,82,Government,Government,16185
12/31/2008,2008Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",7211
12/31/2008,2008Q4,6,Private Industries,Mining,352
12/31/2008,2008Q4,10,Private Industries,Utilities,2980
12/31/2008,2008Q4,11,Private Industries,Construction,5818
12/31/2008,2008Q4,12,Private Industries,Manufacturing,26697
12/31/2008,2008Q4,34,Private Industries,Wholesale trade,8196
12/31/2008,2008Q4,35,Private Industries,Retail trade,7941
